sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,famrel,freetime,goout,health,absences,G1,G2,Grade_Momentum
M,17,U,LE3,A,3,2,other,other,1,2,0,no,yes,no,no,yes,yes,4,4,4,5,10,16,18,2
F,17,U,GT3,T,2,2,other,services,3,3,0,no,yes,no,no,yes,yes,4,2,3,1,8,13,15,2
F,16,U,GT3,T,3,1,other,other,1,1,0,no,no,no,yes,yes,yes,3,1,3,1,0,8,6,-2
M,15,U,GT3,T,4,3,teacher,other,1,2,0,no,yes,no,yes,yes,yes,4,3,3,5,0,11,11,0
F,16,R,LE3,T,2,2,other,other,3,1,0,no,yes,no,yes,yes,no,4,3,2,4,0,14,14,0
F,15,U,GT3,T,1,1,other,other,1,2,0,no,yes,no,yes,yes,yes,4,3,2,4,2,13,12,-1
M,16,U,GT3,T,1,3,at_home,services,1,1,1,no,no,no,no,no,yes,5,3,3,2,2,9,8,-1
F,16,U,GT3,A,3,4,services,other,1,1,0,no,no,no,no,yes,yes,3,2,1,5,12,15,13,-2
F,17,U,GT3,T,1,1,other,other,1,2,0,no,yes,no,no,yes,no,4,4,4,1,0,14,15,1
F,16,U,LE3,T,4,3,teacher,services,3,2,0,no,yes,no,yes,yes,yes,5,4,3,1,2,16,15,-1
F,16,U,LE3,T,2,4,other,health,2,2,0,no,yes,no,yes,yes,yes,4,2,2,5,2,14,12,-2
F,20,R,GT3,T,1,1,other,other,2,3,0,no,no,no,no,yes,yes,3,2,2,3,8,11,15,4
F,16,U,GT3,T,2,2,services,services,1,1,0,no,yes,no,no,yes,yes,1,2,2,5,6,10,11,1
M,17,R,LE3,A,4,4,teacher,other,2,2,0,no,yes,no,no,yes,yes,3,3,3,4,0,12,12,0
F,17,R,GT3,T,2,2,at_home,other,2,2,0,no,yes,no,no,yes,yes,4,3,5,4,0,11,10,-1
F,17,U,GT3,T,3,1,services,services,1,3,0,no,yes,no,no,yes,yes,3,4,3,5,0,17,18,1
M,19,R,GT3,T,1,1,other,services,3,2,1,no,no,no,no,yes,yes,5,4,4,2,8,10,9,-1
F,18,U,LE3,T,4,3,health,services,2,1,0,no,yes,no,no,yes,yes,3,2,4,1,8,12,12,0
F,17,U,GT3,T,2,3,at_home,other,2,1,0,no,yes,no,no,yes,no,3,3,3,3,4,12,13,1
M,15,U,GT3,T,3,4,other,other,1,1,0,no,no,no,no,yes,yes,3,4,3,4,2,14,13,-1
F,18,R,GT3,T,4,4,teacher,other,2,2,0,no,no,no,yes,yes,yes,4,3,4,4,8,10,11,1
F,17,U,GT3,T,4,1,health,at_home,1,1,0,no,yes,no,no,yes,no,3,2,2,5,0,8,10,2
F,18,U,GT3,T,3,3,services,services,1,2,0,no,no,no,yes,yes,yes,5,3,4,4,8,10,11,1
F,21,U,LE3,T,4,4,other,other,1,3,2,no,no,yes,yes,yes,yes,3,3,2,5,0,9,12,3
M,17,U,GT3,T,3,3,other,services,1,1,0,no,no,no,yes,yes,yes,4,3,5,5,0,17,18,1
M,16,R,LE3,T,4,1,other,at_home,1,1,0,no,no,no,no,yes,yes,4,1,2,2,0,10,11,1
F,15,U,GT3,T,4,2,other,other,1,3,0,no,yes,no,yes,yes,yes,5,3,3,1,4,15,15,0
F,17,R,GT3,T,2,1,at_home,services,3,2,0,no,no,no,yes,yes,no,2,1,1,3,2,13,13,0
M,15,U,LE3,T,3,3,at_home,at_home,1,2,0,no,yes,no,yes,yes,yes,5,3,3,5,0,11,11,0
M,16,U,GT3,T,2,2,services,other,2,2,0,no,no,no,yes,yes,yes,4,4,2,3,6,12,10,-2
F,18,R,LE3,A,1,2,at_home,other,3,2,0,no,no,no,no,yes,no,4,3,4,5,0,16,15,-1
F,16,R,GT3,T,2,2,other,other,2,2,0,no,yes,no,yes,yes,yes,4,4,4,5,0,12,12,0
M,18,U,GT3,T,2,2,other,services,1,2,0,no,no,no,no,no,yes,5,5,4,2,16,8,7,-1
M,18,U,LE3,T,1,1,other,other,1,1,2,no,no,no,no,no,yes,2,3,5,4,0,11,9,-2
M,17,R,LE3,T,1,2,at_home,services,1,1,0,no,yes,no,yes,yes,yes,5,5,5,3,4,10,11,1
F,17,R,GT3,T,1,1,other,services,3,1,1,no,yes,no,no,yes,yes,5,2,1,1,0,8,8,0
F,17,U,GT3,T,1,1,other,at_home,1,1,0,no,yes,no,yes,yes,no,4,3,2,5,9,7,9,2
M,17,R,GT3,T,2,2,services,other,4,1,0,no,yes,no,no,yes,yes,4,4,5,4,2,11,10,-1
M,17,U,GT3,T,3,3,other,other,1,2,0,no,no,no,yes,yes,yes,4,3,4,4,4,11,9,-2
F,16,R,GT3,T,1,1,at_home,other,4,2,0,no,yes,no,no,yes,no,5,1,3,3,0,14,13,-1
F,16,U,GT3,T,4,4,health,other,1,1,0,no,yes,no,no,yes,yes,4,4,4,2,6,17,17,0
M,22,U,GT3,T,3,1,services,services,1,1,3,no,no,no,no,no,yes,5,4,5,1,12,7,8,1
M,16,R,LE3,T,3,3,teacher,other,3,1,0,no,yes,no,yes,yes,yes,3,3,4,3,16,10,11,1
F,18,R,GT3,T,4,4,teacher,at_home,3,1,0,no,yes,no,yes,yes,yes,4,4,3,5,4,7,9,2
F,18,U,LE3,T,2,2,at_home,services,1,2,1,no,yes,no,no,yes,yes,5,3,1,5,16,9,8,-1
F,17,U,GT3,T,3,3,services,services,2,1,0,no,yes,no,no,yes,yes,4,4,3,4,0,11,12,1
M,16,U,LE3,T,1,1,services,other,1,2,2,no,no,no,no,yes,no,4,4,4,5,0,10,10,0
M,15,U,GT3,T,4,4,teacher,health,1,2,0,no,yes,no,yes,yes,no,3,2,2,5,8,15,15,0
F,16,U,GT3,T,4,3,teacher,health,1,3,0,yes,yes,no,yes,yes,yes,3,4,4,4,0,14,13,-1
F,16,U,LE3,T,1,2,other,services,1,2,0,yes,no,no,yes,yes,yes,4,4,3,1,0,13,13,0
M,18,U,GT3,T,4,4,teacher,services,1,2,0,no,yes,no,yes,yes,yes,4,3,3,2,0,12,12,0
M,17,U,GT3,T,3,3,services,services,1,1,0,no,yes,no,yes,yes,yes,4,1,4,3,8,7,10,3
F,15,R,GT3,T,3,4,services,teacher,2,3,0,no,yes,no,no,yes,yes,4,2,2,5,0,10,11,1
M,17,U,LE3,T,4,3,teacher,other,2,2,0,no,no,no,yes,yes,yes,4,4,4,4,0,10,11,1
F,19,U,GT3,T,4,4,health,other,2,2,0,no,yes,no,yes,yes,yes,2,3,4,2,2,14,13,-1
F,17,R,GT3,T,2,2,other,other,2,2,0,no,yes,no,yes,yes,no,5,3,2,1,0,15,17,2
F,15,U,GT3,T,4,4,services,services,1,1,0,yes,yes,no,no,yes,yes,3,3,4,5,0,13,12,-1
M,17,U,LE3,T,3,1,services,services,2,1,0,no,no,no,no,yes,yes,2,4,5,2,6,10,10,0
M,18,U,LE3,T,1,3,at_home,services,1,1,0,no,no,no,no,no,yes,4,3,3,3,0,9,10,1
M,15,U,LE3,A,4,2,health,health,2,1,0,no,no,no,no,yes,no,5,5,5,5,4,10,9,-1
M,18,U,GT3,T,2,1,services,services,1,1,2,no,no,no,no,no,yes,3,2,5,5,4,7,8,1
F,17,U,GT3,T,4,4,teacher,services,1,3,0,no,yes,no,yes,yes,yes,5,4,4,4,0,13,12,-1
M,17,U,LE3,T,2,3,services,services,1,2,0,no,yes,no,no,yes,yes,5,3,3,3,0,10,11,1
M,16,U,GT3,T,1,0,other,other,2,2,0,no,yes,no,yes,yes,yes,4,3,2,3,0,16,17,1
F,17,R,GT3,T,3,2,at_home,other,1,2,1,no,no,no,no,yes,no,4,5,4,5,0,10,10,0
M,16,U,GT3,T,3,2,other,other,1,1,0,no,yes,no,no,yes,yes,5,4,3,5,4,12,12,0
F,16,R,GT3,T,2,2,services,services,2,4,0,no,yes,no,yes,yes,yes,5,3,5,5,6,13,13,0
F,17,R,LE3,T,2,2,services,services,1,3,0,no,yes,no,yes,yes,yes,3,3,2,3,0,11,11,0
M,16,R,GT3,T,2,2,at_home,other,3,1,0,no,no,no,no,yes,no,4,2,2,3,4,12,10,-2
F,16,U,GT3,T,1,2,other,services,1,3,1,no,yes,no,no,yes,no,1,3,2,4,0,10,8,-2
F,17,U,GT3,T,4,4,health,health,1,2,0,no,yes,no,no,yes,yes,5,2,5,5,0,13,15,2
F,18,R,GT3,T,2,2,other,other,2,1,1,no,no,no,no,no,yes,5,5,5,3,0,8,6,-2
M,15,U,GT3,T,3,3,services,services,2,1,0,no,yes,no,yes,yes,yes,4,3,3,3,11,12,10,-2
F,18,U,LE3,T,4,2,teacher,other,1,2,0,no,yes,no,yes,yes,yes,4,2,2,3,0,14,17,3
M,18,R,GT3,T,3,2,other,other,2,1,0,no,yes,no,no,yes,yes,2,5,5,5,8,9,10,1
F,16,U,GT3,T,3,2,other,other,1,2,0,no,yes,no,no,yes,yes,1,2,2,1,8,14,15,1
F,17,R,GT3,T,4,4,teacher,teacher,1,1,0,no,no,no,yes,yes,yes,4,4,4,5,2,15,16,1
M,18,U,GT3,T,1,2,at_home,other,2,1,0,no,no,no,no,no,yes,3,4,4,4,10,10,10,0
F,19,U,GT3,T,1,1,other,other,2,2,1,no,yes,no,no,yes,yes,1,1,4,1,12,7,8,1
F,16,R,GT3,A,2,2,health,other,1,2,0,no,no,no,no,yes,no,3,3,2,3,2,8,10,2
F,16,U,GT3,T,4,2,services,other,1,2,0,no,yes,yes,no,yes,yes,4,2,3,5,2,16,15,-1
F,18,U,GT3,T,3,2,other,services,1,3,0,no,no,no,no,yes,yes,5,4,3,1,4,14,16,2
F,17,U,LE3,T,4,4,at_home,at_home,1,2,0,no,yes,no,yes,yes,yes,2,3,4,1,4,15,14,-1
F,17,R,GT3,T,4,2,other,other,2,2,0,yes,yes,no,no,yes,yes,4,3,3,5,0,17,18,1
M,16,U,LE3,T,1,1,other,other,2,2,0,no,yes,no,no,yes,yes,3,4,2,5,2,9,9,0
F,17,R,GT3,T,2,4,at_home,other,1,3,0,no,yes,no,no,yes,yes,4,4,3,5,0,15,15,0
F,16,U,GT3,T,1,1,at_home,other,2,1,0,no,yes,no,no,yes,no,4,3,2,5,2,12,13,1
M,15,R,LE3,T,4,1,health,services,1,2,0,no,yes,no,yes,yes,yes,5,3,4,2,0,12,13,1
M,15,U,GT3,T,4,3,teacher,services,2,4,0,yes,yes,no,no,yes,yes,2,2,2,3,6,9,11,2
M,16,U,LE3,T,4,3,other,other,1,1,0,no,no,no,yes,yes,yes,4,2,5,5,8,14,12,-2
M,16,R,LE3,A,4,4,at_home,other,1,2,0,no,yes,no,no,yes,no,5,3,2,2,5,10,11,1
M,15,U,LE3,T,4,4,health,services,1,1,0,no,yes,no,yes,yes,yes,4,3,3,5,0,12,13,1
F,16,R,GT3,T,2,2,other,other,3,2,0,no,yes,no,no,yes,yes,4,4,5,4,4,9,10,1
F,18,U,GT3,T,3,4,other,other,1,1,0,no,yes,no,yes,yes,yes,5,4,4,1,4,11,12,1
M,17,R,GT3,T,2,2,other,other,3,1,1,no,yes,no,no,yes,yes,4,4,5,5,0,10,9,-1
M,16,U,GT3,T,3,3,at_home,other,3,2,1,yes,yes,no,no,yes,yes,5,3,3,2,4,9,11,2
F,16,R,GT3,T,2,2,other,other,3,2,0,no,yes,no,no,no,yes,3,4,5,1,1,9,10,1
F,16,U,LE3,T,4,4,services,services,2,1,0,no,yes,no,no,yes,no,5,1,3,5,1,11,11,0
M,17,U,LE3,T,4,4,services,other,1,2,0,no,yes,no,no,yes,yes,5,3,5,3,15,13,12,-1
F,16,U,GT3,T,2,2,other,other,1,4,0,no,no,no,no,yes,yes,5,2,3,3,1,13,13,0
F,18,U,GT3,T,3,2,services,other,1,2,0,no,yes,no,yes,yes,yes,3,1,2,1,4,10,13,3
F,18,R,GT3,T,2,2,at_home,other,2,3,0,no,no,no,no,yes,no,5,3,3,4,0,14,17,3
F,15,U,GT3,T,4,4,teacher,teacher,2,1,0,no,no,no,yes,yes,yes,4,3,2,5,6,13,14,1
F,18,U,GT3,T,2,2,services,at_home,2,2,0,no,no,no,yes,yes,yes,4,3,5,1,2,12,13,1
M,18,U,GT3,T,4,2,teacher,other,1,2,0,no,yes,no,yes,yes,yes,4,3,2,5,2,15,16,1
M,15,U,GT3,T,2,2,services,services,1,1,0,yes,yes,no,no,yes,yes,5,4,1,1,0,9,10,1
F,15,R,LE3,T,3,1,other,other,2,4,0,no,yes,no,no,yes,yes,4,4,2,3,6,15,15,0
M,18,U,LE3,T,4,3,teacher,services,2,1,0,no,no,no,yes,yes,yes,4,2,3,1,0,10,10,0
F,18,U,LE3,A,2,2,services,other,2,2,0,no,yes,no,no,yes,yes,4,1,4,4,10,14,17,3
F,16,U,GT3,T,2,1,other,other,1,1,0,no,no,no,no,yes,yes,4,5,2,5,4,9,10,1
F,17,U,LE3,T,3,3,other,other,1,2,0,no,yes,no,yes,yes,yes,5,3,3,1,32,14,13,-1
M,16,R,GT3,T,2,1,other,other,2,1,0,no,no,no,yes,yes,no,3,3,2,3,2,14,13,-1
M,16,R,GT3,T,1,1,at_home,other,2,1,0,no,no,no,yes,yes,no,3,4,4,5,6,11,11,0
M,17,U,LE3,A,3,2,teacher,services,1,1,0,no,no,no,no,yes,yes,4,4,4,3,18,13,13,0
F,15,U,LE3,T,4,2,health,other,1,2,0,no,yes,no,no,yes,yes,4,3,3,5,0,16,14,-2
M,16,U,GT3,T,2,1,health,services,2,2,0,no,no,no,no,yes,yes,4,2,2,5,2,9,7,-2
M,17,R,GT3,T,3,2,other,other,2,2,2,yes,yes,no,no,yes,yes,4,4,4,3,4,7,6,-1
F,17,U,GT3,T,4,4,health,health,1,1,0,no,no,no,yes,yes,yes,5,3,4,5,2,14,15,1
F,16,U,LE3,T,2,2,at_home,other,1,2,0,no,yes,no,no,yes,no,4,3,4,2,6,13,11,-2
M,15,U,GT3,T,3,4,other,other,1,2,0,no,yes,no,yes,yes,yes,5,5,1,5,0,12,12,0
F,15,R,LE3,T,1,1,at_home,other,2,1,0,no,yes,no,no,no,no,5,2,1,4,0,9,10,1
F,16,U,GT3,T,1,2,other,services,1,3,1,no,yes,no,no,yes,no,1,3,2,4,3,9,8,-1
F,16,U,GT3,T,4,4,services,services,1,3,0,no,yes,no,yes,yes,yes,3,2,3,2,10,13,13,0
F,16,R,GT3,T,1,1,at_home,other,2,1,0,no,no,no,yes,yes,yes,4,2,2,2,0,13,12,-1
F,17,U,GT3,T,2,2,other,at_home,1,1,0,no,yes,no,yes,no,no,4,5,3,5,4,9,9,0
F,18,R,GT3,T,1,1,at_home,other,3,1,3,no,yes,no,yes,yes,no,5,2,5,4,6,11,10,-1
M,17,R,GT3,T,1,1,other,other,2,3,0,no,no,no,no,yes,yes,4,3,3,1,2,13,14,1
M,16,U,LE3,A,3,4,services,other,1,2,0,yes,yes,yes,yes,yes,yes,5,3,3,5,2,12,12,0
M,18,U,LE3,T,2,1,at_home,other,4,2,0,yes,yes,no,yes,yes,yes,4,3,2,3,2,9,10,1
M,17,U,GT3,T,4,3,other,other,1,2,0,no,yes,yes,yes,yes,yes,5,2,3,2,4,11,11,0
M,16,U,GT3,T,4,4,teacher,teacher,1,1,0,no,yes,no,no,no,yes,3,3,2,5,16,9,9,0
M,16,U,GT3,T,4,4,health,other,1,1,0,no,yes,no,yes,yes,yes,3,4,4,5,4,12,13,1
M,16,U,GT3,T,4,4,services,teacher,1,3,0,no,yes,no,yes,yes,yes,4,4,3,4,0,16,16,0
F,16,R,LE3,T,3,4,at_home,other,3,2,0,no,yes,no,no,yes,no,4,2,1,2,2,7,9,2
M,16,U,GT3,T,4,3,health,services,1,4,0,no,no,no,yes,yes,yes,4,2,2,2,2,17,17,0
F,16,R,GT3,T,1,2,other,other,1,3,0,yes,yes,no,no,yes,yes,4,3,4,3,5,13,14,1
F,15,U,GT3,T,2,2,other,services,2,3,0,no,yes,no,yes,yes,no,5,3,2,4,0,12,13,1
M,15,U,GT3,T,4,3,teacher,other,1,2,0,no,no,no,no,yes,yes,4,4,1,1,0,12,13,1
F,16,R,GT3,T,1,1,other,other,4,4,0,no,yes,no,no,yes,yes,4,3,2,1,0,13,10,-3
F,17,R,GT3,T,0,0,at_home,other,2,1,0,no,yes,no,no,yes,yes,4,4,3,5,0,10,11,1
F,18,U,GT3,A,4,4,at_home,teacher,2,2,0,yes,no,no,no,yes,no,4,3,4,3,4,0,11,11
M,17,U,GT3,T,3,4,services,other,1,2,1,no,yes,no,yes,yes,yes,5,4,4,5,8,8,9,1
F,16,U,GT3,T,3,3,other,services,1,2,0,yes,yes,no,yes,yes,yes,4,3,3,5,4,11,11,0
F,15,U,GT3,T,1,2,at_home,other,1,2,0,no,yes,no,no,yes,yes,4,3,2,5,6,13,12,-1
M,19,U,GT3,T,2,1,at_home,other,2,1,3,no,no,no,yes,no,yes,4,4,3,5,4,8,9,1
M,18,U,GT3,T,2,2,other,other,1,1,0,no,no,no,no,yes,yes,5,4,2,5,6,15,14,-1
M,16,U,GT3,T,3,2,at_home,other,2,3,0,no,no,no,yes,yes,yes,5,3,3,2,0,12,12,0
F,17,R,LE3,A,1,4,other,other,4,1,1,no,yes,no,no,yes,yes,5,5,4,5,14,9,9,0
F,15,R,GT3,T,1,1,at_home,services,1,1,1,no,yes,no,no,yes,no,4,1,3,2,6,10,10,0
M,16,R,LE3,T,1,1,at_home,other,2,1,0,no,no,no,yes,yes,yes,4,5,5,5,0,10,10,0
F,16,R,GT3,T,3,3,services,other,1,3,0,yes,yes,no,yes,yes,yes,4,1,2,2,4,11,11,0
F,15,U,GT3,T,3,2,health,services,1,2,1,no,yes,no,no,yes,yes,3,3,2,3,2,11,11,0
F,19,R,GT3,T,2,3,services,other,1,3,1,no,no,no,yes,yes,yes,5,4,2,5,4,10,11,1
F,16,U,LE3,T,1,1,at_home,other,3,2,0,no,yes,no,no,yes,yes,4,3,2,5,6,6,8,2
M,17,U,LE3,T,2,2,other,other,1,2,0,no,no,no,yes,yes,yes,4,4,2,4,0,16,16,0
M,16,U,LE3,T,4,3,services,other,1,2,0,no,yes,no,yes,yes,yes,5,4,2,5,6,12,12,0
F,18,U,GT3,T,4,4,health,health,1,2,1,yes,yes,no,yes,yes,yes,2,4,4,4,2,14,12,-2
F,17,U,LE3,T,3,2,other,other,2,2,0,no,no,no,no,yes,yes,4,4,4,1,2,14,16,2
F,16,U,LE3,T,2,1,other,services,1,2,0,no,no,no,no,yes,yes,3,2,2,3,0,14,15,1
M,15,R,LE3,T,4,1,health,services,1,2,0,no,yes,no,yes,yes,yes,5,3,4,2,7,7,9,2
F,17,U,GT3,T,4,2,teacher,services,1,2,0,yes,yes,no,yes,yes,yes,5,5,5,5,0,8,8,0
M,17,U,GT3,T,3,3,health,other,1,1,0,no,yes,no,no,yes,yes,4,4,3,5,0,14,15,1
F,16,U,GT3,T,2,3,other,other,1,2,0,yes,yes,no,yes,yes,no,4,4,3,4,4,11,12,1
M,16,U,GT3,T,2,2,other,other,1,2,0,no,no,no,no,no,yes,4,3,5,4,0,9,10,1
M,17,R,GT3,T,2,2,other,other,2,1,0,no,no,no,yes,no,no,5,5,5,5,0,8,13,5
M,16,U,LE3,T,2,1,other,other,1,2,0,no,no,no,yes,yes,yes,4,2,3,5,0,13,14,1
F,18,R,LE3,T,4,4,teacher,services,1,2,0,no,no,no,yes,yes,yes,5,4,3,2,1,13,14,1
M,18,U,GT3,T,4,3,teacher,other,1,3,0,no,yes,no,no,yes,yes,5,4,5,5,0,14,13,-1
F,17,U,GT3,T,4,3,other,other,1,2,0,no,no,no,no,yes,yes,3,4,5,1,16,11,9,-2
M,16,U,LE3,T,2,2,other,other,2,2,0,no,yes,no,yes,yes,yes,5,4,4,5,2,10,10,0
F,19,U,LE3,A,1,1,other,other,3,2,2,no,yes,no,no,yes,yes,5,3,4,4,2,8,8,0
M,16,U,GT3,T,4,4,teacher,teacher,1,2,0,no,yes,no,yes,yes,yes,5,4,4,5,6,16,14,-2
F,17,U,GT3,T,2,2,other,other,1,2,0,no,yes,no,no,yes,no,4,2,2,3,4,14,13,-1
M,18,U,LE3,T,4,4,teacher,teacher,1,1,0,no,yes,no,no,yes,yes,1,4,2,1,0,18,18,0
M,15,R,GT3,T,2,1,health,services,1,2,0,no,no,no,yes,yes,yes,5,4,2,5,4,10,9,-1
M,15,U,GT3,T,4,4,services,services,2,2,0,no,yes,no,yes,yes,yes,4,3,1,5,2,15,15,0
F,16,U,GT3,T,1,1,services,services,4,1,0,yes,yes,no,yes,yes,yes,5,5,5,5,0,10,10,0
M,17,R,GT3,T,1,1,other,services,2,1,0,no,yes,no,yes,yes,yes,4,5,5,2,0,10,9,-1
M,18,U,LE3,T,1,1,other,services,2,1,0,no,no,no,no,yes,yes,3,3,2,3,2,14,13,-1
M,15,R,GT3,T,4,3,teacher,at_home,1,2,0,no,yes,no,yes,yes,yes,4,5,2,5,0,13,14,1
M,16,U,LE3,T,2,2,services,services,2,1,0,no,yes,no,yes,yes,yes,2,3,3,2,4,12,11,-1
F,16,R,LE3,T,1,2,at_home,other,1,2,0,no,no,no,yes,no,yes,4,4,5,3,0,8,9,1
M,18,U,LE3,A,4,4,teacher,teacher,1,2,0,no,yes,no,yes,yes,yes,5,4,3,2,0,17,17,0
M,15,R,GT3,T,4,4,other,other,4,4,0,no,yes,no,yes,yes,yes,1,3,5,1,8,12,10,-2
F,18,U,GT3,T,1,1,other,other,3,2,2,no,no,no,yes,yes,no,3,4,4,5,3,7,8,1
M,19,U,LE3,A,4,3,services,at_home,1,2,0,no,yes,no,no,yes,yes,4,3,1,1,4,11,13,2
M,16,R,GT3,T,4,3,services,other,2,1,0,yes,yes,yes,yes,yes,yes,3,3,3,4,6,9,11,2
F,16,U,LE3,T,4,1,other,other,2,2,0,no,yes,no,yes,yes,yes,1,2,4,1,8,9,10,1
F,18,R,GT3,T,2,2,services,other,2,3,0,no,no,no,no,yes,yes,4,2,1,4,5,14,14,0
M,16,U,GT3,T,4,4,health,other,1,2,0,no,yes,no,yes,yes,yes,4,2,4,1,0,13,13,0
F,16,U,GT3,T,2,2,other,services,1,1,1,no,yes,yes,yes,yes,yes,4,4,3,3,1,9,10,1
M,18,U,LE3,T,2,1,services,other,3,2,1,no,no,no,yes,no,yes,4,4,5,5,4,11,10,-1
F,16,U,GT3,T,4,3,teacher,other,1,2,0,no,no,no,yes,yes,yes,1,3,2,1,4,14,15,1
M,18,U,LE3,T,3,4,services,other,1,2,0,no,no,no,yes,yes,yes,4,3,3,5,6,16,16,0
M,17,U,GT3,T,2,1,other,other,1,1,0,no,yes,no,no,yes,yes,5,4,5,5,22,9,7,-2
M,18,R,GT3,T,1,3,at_home,other,2,2,0,no,yes,yes,no,yes,no,3,3,4,3,0,8,10,2
F,15,R,GT3,T,1,1,at_home,other,2,4,0,yes,yes,yes,yes,yes,yes,3,1,2,1,4,13,13,0
M,17,R,GT3,T,2,2,other,services,2,1,0,no,no,no,no,no,no,5,2,2,4,0,9,10,1
F,15,U,LE3,A,4,3,other,other,1,2,0,yes,yes,yes,yes,yes,yes,5,2,2,5,4,10,11,1
M,20,U,GT3,A,3,2,services,other,1,1,2,no,no,no,yes,yes,no,5,5,3,5,0,14,15,1
F,17,U,LE3,A,4,2,teacher,other,1,2,0,no,yes,no,yes,yes,no,4,3,2,4,4,15,14,-1
M,17,U,GT3,T,1,2,at_home,services,2,2,0,no,no,no,yes,yes,yes,4,4,4,5,16,10,11,1
F,15,U,LE3,A,2,1,at_home,other,2,1,0,no,yes,no,yes,no,yes,4,4,2,5,0,11,10,-1
M,18,R,GT3,T,2,3,other,services,1,1,0,no,no,no,no,yes,yes,3,1,3,4,13,13,14,1
M,19,R,GT3,T,1,1,other,other,3,1,1,no,yes,no,no,yes,yes,4,4,4,5,4,8,9,1
F,17,R,GT3,T,1,1,at_home,at_home,2,1,0,no,yes,no,yes,no,yes,3,5,5,4,3,10,11,1
F,17,U,GT3,T,4,4,services,teacher,2,1,1,no,yes,no,no,yes,yes,4,2,4,2,30,14,15,1
F,15,U,GT3,A,3,3,services,services,1,2,0,no,no,no,no,yes,no,1,3,2,1,24,9,8,-1
M,18,U,GT3,T,4,3,teacher,other,1,2,0,no,yes,no,no,yes,yes,4,3,2,3,2,10,10,0
F,17,R,GT3,T,2,1,at_home,services,2,2,0,no,yes,no,yes,yes,yes,4,2,5,5,0,11,10,-1
F,18,R,LE3,T,1,1,at_home,other,2,4,0,no,yes,no,yes,yes,no,5,2,2,3,2,17,17,0
F,18,R,LE3,T,4,4,other,other,2,3,0,no,no,no,no,yes,yes,5,4,4,1,0,15,17,2
M,18,R,GT3,T,2,1,other,other,2,1,0,no,no,no,yes,yes,yes,4,4,3,5,0,7,7,0
F,17,R,GT3,T,1,2,other,services,2,2,0,no,no,no,no,yes,no,3,2,2,3,0,13,13,0
F,16,U,GT3,T,1,1,other,other,1,4,0,yes,yes,no,yes,yes,yes,2,2,1,5,0,14,14,0
F,15,R,GT3,T,3,4,services,health,1,3,0,yes,yes,no,yes,yes,yes,4,3,2,5,2,11,12,1
F,17,R,GT3,T,2,2,other,other,1,1,0,no,yes,no,no,yes,yes,5,3,2,3,21,13,13,0
F,17,U,LE3,T,4,3,health,other,1,2,0,no,no,no,yes,yes,yes,3,2,3,3,0,14,12,-2
M,15,U,GT3,T,4,4,health,services,1,2,0,no,yes,yes,no,yes,yes,5,4,2,5,0,10,11,1
M,18,U,GT3,T,4,4,teacher,services,2,1,0,no,no,no,yes,yes,yes,3,2,4,3,6,11,12,1
M,16,U,GT3,T,3,3,other,services,2,1,0,no,no,no,yes,yes,yes,5,4,2,5,6,14,14,0
F,15,R,GT3,T,3,3,other,services,2,1,0,no,no,no,no,yes,yes,4,1,3,4,0,14,16,2
F,16,U,GT3,T,3,3,other,other,3,2,0,yes,yes,no,yes,yes,no,5,3,2,4,2,13,14,1
F,19,U,GT3,T,2,2,services,services,1,2,0,no,yes,no,no,yes,yes,4,3,3,5,0,10,10,0
F,18,U,LE3,A,1,2,at_home,other,2,2,0,no,no,no,no,yes,yes,4,4,3,4,0,12,13,1
F,18,U,GT3,A,2,4,other,services,1,2,1,no,yes,no,no,yes,yes,2,3,2,1,8,8,5,-3
F,16,U,GT3,T,2,2,other,other,1,2,0,no,yes,no,no,yes,yes,5,1,5,4,0,12,12,0
M,16,U,LE3,T,2,1,at_home,services,2,1,0,no,yes,no,yes,yes,yes,2,4,3,4,4,10,8,-2
M,18,R,GT3,T,4,3,teacher,services,1,3,0,no,no,no,no,yes,yes,5,3,2,4,4,15,14,-1
M,16,R,GT3,T,2,2,services,services,2,1,0,no,yes,no,yes,yes,yes,5,4,3,4,6,7,8,1
M,15,U,LE3,T,1,2,other,at_home,1,2,0,yes,yes,no,yes,yes,yes,4,3,2,5,0,14,13,-1
F,18,U,GT3,T,2,2,other,other,2,2,0,no,yes,no,no,yes,yes,1,3,1,2,4,8,8,0
F,18,U,GT3,T,2,1,services,other,1,2,3,no,yes,no,yes,no,yes,5,4,5,5,10,10,9,-1
M,17,U,LE3,T,4,4,other,services,1,3,0,no,yes,no,no,yes,yes,4,4,3,5,0,15,14,-1
F,18,U,GT3,T,1,2,other,other,1,2,1,no,yes,no,yes,yes,yes,3,4,4,5,9,9,8,-1
F,17,U,LE3,A,3,2,services,other,2,2,0,no,no,no,no,yes,no,1,2,3,5,0,15,14,-1
F,17,U,GT3,A,4,4,other,teacher,2,2,0,yes,yes,no,no,yes,no,4,1,4,1,2,10,13,3
F,18,U,GT3,T,4,4,teacher,other,1,2,0,no,yes,no,no,yes,yes,4,4,4,5,0,12,11,-1
F,15,U,GT3,T,4,4,teacher,health,1,2,0,no,yes,no,no,yes,yes,3,3,3,2,2,14,14,0
